Gene.name.human,Gene.stable.ID.human,Gene.description.human,Chromosome.scaffold.name.human,Gene.start..bp.human,Gene.end..bp.human,Strand.human,homology.type,orthology.confidence..0.low..1.high.,Gene.name.zebrafish,Gene.stable.ID.zebrafish,Gene.description.zebrafish,Chromosome.scaffold.name.zebrafish,Gene.start..bp.zebrafish,Gene.end..bp.zebrafish,Strand.zebrafish
FA2H,ENSG00000103089,fatty acid 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:21197],16,74712955,74774831,-1,ortholog_one2one,1,fa2h,ENSDARG00000090063,fatty acid 2-hydroxylase [Source:ZFIN;Acc:ZDB-GENE-031219-4],25,13558992,13614863,-1
ARAF,ENSG00000078061,"A-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:646]",X,47561205,47571908,1,ortholog_one2one,1,araf,ENSDARG00000054533,"A-Raf proto-oncogene, serine/threonine kinase [Source:ZFIN;Acc:ZDB-GENE-050102-2]",5,26856253,26869392,1
TMEM177,ENSG00000144120,transmembrane protein 177 [Source:HGNC Symbol;Acc:HGNC:28143],2,119679167,119686507,1,ortholog_one2one,1,tmem177,ENSDARG00000069301,transmembrane protein 177 [Source:NCBI gene;Acc:556875],9,29034221,29039506,-1
RPTOR,ENSG00000141564,regulatory associated protein of MTOR complex 1 [Source:HGNC Symbol;Acc:HGNC:30287],17,80544819,80966371,1,ortholog_one2one,1,rptor,ENSDARG00000098726,"regulatory associated protein of MTOR, complex 1 [Source:ZFIN;Acc:ZDB-GENE-130530-685]",6,17725788,17999776,-1
SS18L2,ENSG00000008324,SS18 like 2 [Source:HGNC Symbol;Acc:HGNC:15593],3,42581840,42596934,1,ortholog_one2one,1,ss18l2,ENSDARG00000101085,"ss18, like 2 [Source:ZFIN;Acc:ZDB-GENE-050417-268]",18,328689,330937,1
IQCH,ENSG00000103599,IQ motif containing H [Source:HGNC Symbol;Acc:HGNC:25721],15,67254786,67502260,1,ortholog_one2one,1,iqch,ENSDARG00000015476,IQ motif containing H [Source:NCBI gene;Acc:567336],18,19820008,19880934,1
NDUFB7,ENSG00000099795,NADH:ubiquinone oxidoreductase subunit B7 [Source:HGNC Symbol;Acc:HGNC:7702],19,14566078,14572066,-1,ortholog_one2one,1,ndufb7,ENSDARG00000033789,NADH:ubiquinone oxidoreductase subunit B7 [Source:ZFIN;Acc:ZDB-GENE-040426-1886],1,55780128,55785722,-1
HOXB3,ENSG00000120093,homeobox B3 [Source:HGNC Symbol;Acc:HGNC:5114],17,48548870,48604912,-1,ortholog_one2one,1,hoxb3a,ENSDARG00000029263,homeobox B3a [Source:NCBI gene;Acc:30339],3,23697997,23771945,1
GOLPH3L,ENSG00000143457,golgi phosphoprotein 3 like [Source:HGNC Symbol;Acc:HGNC:24882],1,150646230,150697154,-1,ortholog_one2one,1,golph3l,ENSDARG00000036943,golgi phosphoprotein 3-like [Source:ZFIN;Acc:ZDB-GENE-051113-168],19,329808,340641,-1
DYNC2I2,ENSG00000119333,dynein 2 intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:28296],9,128633653,128656847,-1,ortholog_one2one,1,wdr34,ENSDARG00000057635,WD repeat domain 34 [Source:ZFIN;Acc:ZDB-GENE-070928-9],21,13217896,13225402,-1
MRPL51,ENSG00000111639,mitochondrial ribosomal protein L51 [Source:HGNC Symbol;Acc:HGNC:14044],12,6491886,6493841,-1,ortholog_one2one,1,mrpl51,ENSDARG00000041340,mitochondrial ribosomal protein L51 [Source:NCBI gene;Acc:797002],16,4540981,4547193,-1
CDC42,ENSG00000070831,cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736],1,22025511,22101360,1,ortholog_one2one,1,cdc42,ENSDARG00000044573,cell division cycle 42 [Source:ZFIN;Acc:ZDB-GENE-030131-8783],11,39120306,39148199,1
C7orf26,ENSG00000146576,chromosome 7 open reading frame 26 [Source:HGNC Symbol;Acc:HGNC:21702],7,6590021,6608726,1,ortholog_one2one,1,C1H7orf26,ENSDARG00000037652,zgc:56409 [Source:NCBI gene;Acc:393295],1,9873295,9885326,-1
CTU1,ENSG00000142544,cytosolic thiouridylase subunit 1 [Source:HGNC Symbol;Acc:HGNC:29590],19,51097606,51108409,-1,ortholog_one2one,1,ctu1,ENSDARG00000020986,cytosolic thiouridylase subunit 1 homolog (S. pombe) [Source:NCBI gene;Acc:393098],8,3431671,3439484,1
CTDP1,ENSG00000060069,CTD phosphatase subunit 1 [Source:HGNC Symbol;Acc:HGNC:2498],18,79679803,79754503,1,ortholog_one2one,1,ctdp1,ENSDARG00000017522,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1 [Source:ZFIN;Acc:ZDB-GENE-040720-1]",19,11632834,11846958,-1
GPR176,ENSG00000166073,G protein-coupled receptor 176 [Source:HGNC Symbol;Acc:HGNC:32370],15,39799008,39920266,-1,ortholog_one2one,1,gpr176,ENSDARG00000042515,G protein-coupled receptor 176 [Source:ZFIN;Acc:ZDB-GENE-041001-183],20,28960340,28974309,1
TAFA1,ENSG00000183662,TAFA chemokine like family member 1 [Source:HGNC Symbol;Acc:HGNC:21587],3,68004247,68545621,1,ortholog_one2one,1,tafa1a,ENSDARG00000062357,TAFA chemokine like family member 1a [Source:ZFIN;Acc:ZDB-GENE-090313-124],23,18177281,18287618,-1
CDK5,ENSG00000164885,cyclin dependent kinase 5 [Source:HGNC Symbol;Acc:HGNC:1774],7,151053815,151057897,-1,ortholog_one2one,1,cdk5,ENSDARG00000056683,cyclin-dependent kinase 5 [Source:ZFIN;Acc:ZDB-GENE-010131-2],24,33767771,33780387,-1
TPPP2,ENSG00000179636,tubulin polymerization promoting protein family member 2 [Source:HGNC Symbol;Acc:HGNC:19293],14,21024109,21036276,1,ortholog_one2one,1,tppp3,ENSDARG00000030463,tubulin polymerization-promoting protein family member 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1909],7,35229645,35243976,1
HAPLN4,ENSG00000187664,hyaluronan and proteoglycan link protein 4 [Source:HGNC Symbol;Acc:HGNC:31357],19,19254756,19262804,-1,ortholog_one2one,1,hapln4,ENSDARG00000018542,hyaluronan and proteoglycan link protein 4 [Source:ZFIN;Acc:ZDB-GENE-060503-243],22,17828267,17831253,1
OLIG3,ENSG00000177468,oligodendrocyte transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:18003],6,137492199,137494394,-1,ortholog_one2one,1,olig3,ENSDARG00000074253,oligodendrocyte transcription factor 3 [Source:ZFIN;Acc:ZDB-GENE-080903-1],13,1305363,1308020,-1
KIF7,ENSG00000166813,kinesin family member 7 [Source:HGNC Symbol;Acc:HGNC:30497],15,89608789,89655467,-1,ortholog_one2one,1,kif7,ENSDARG00000033099,kinesin family member 7 [Source:NCBI gene;Acc:544651],7,14393059,14446512,-1
DNAH3,ENSG00000158486,dynein axonemal heavy chain 3 [Source:HGNC Symbol;Acc:HGNC:2949],16,20933111,21159441,-1,ortholog_one2one,1,dnah3,ENSDARG00000068468,dynein axonemal heavy chain 3 [Source:ZFIN;Acc:ZDB-GENE-091112-7],24,39443874,39511864,1
GFI1,ENSG00000162676,growth factor independent 1 transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:4237],1,92473043,92486925,-1,ortholog_one2one,1,gfi1ab,ENSDARG00000044457,growth factor independent 1A transcription repressor b [Source:ZFIN;Acc:ZDB-GENE-040116-8],6,29004062,29007493,-1
FES,ENSG00000182511,"FES proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3657]",15,90883695,90895776,1,ortholog_one2one,1,fes,ENSDARG00000011449,"FES proto-oncogene, tyrosine kinase [Source:ZFIN;Acc:ZDB-GENE-100812-10]",7,14211322,14266466,1
EML5,ENSG00000165521,EMAP like 5 [Source:HGNC Symbol;Acc:HGNC:18197],14,88612431,88792953,-1,ortholog_one2one,1,EML5,ENSDARG00000053517,si:dkey-1f12.3 [Source:ZFIN;Acc:ZDB-GENE-030131-1677],17,43039463,43287290,-1
LSM11,ENSG00000155858,"LSM11, U7 small nuclear RNA associated [Source:HGNC Symbol;Acc:HGNC:30860]",5,157743712,157760709,1,ortholog_one2one,1,lsm11,ENSDARG00000090854,"LSM11, U7 small nuclear RNA associated [Source:ZFIN;Acc:ZDB-GENE-050309-124]",14,35392736,35405723,-1
ISCA2,ENSG00000165898,iron-sulfur cluster assembly 2 [Source:HGNC Symbol;Acc:HGNC:19857],14,74493756,74497106,1,ortholog_one2one,1,isca2,ENSDARG00000038154,iron-sulfur cluster assembly 2 [Source:ZFIN;Acc:ZDB-GENE-131121-486],17,43032529,43036291,1
CREB3L1,ENSG00000157613,cAMP responsive element binding protein 3 like 1 [Source:HGNC Symbol;Acc:HGNC:18856],11,46277662,46321409,1,ortholog_one2one,1,creb3l1,ENSDARG00000015793,cAMP responsive element binding protein 3-like 1 [Source:ZFIN;Acc:ZDB-GENE-030219-181],7,38897836,38954874,1
OSTC,ENSG00000198856,oligosaccharyltransferase complex non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:24448],4,108650585,108667820,1,ortholog_one2one,1,ostc,ENSDARG00000104901,oligosaccharyltransferase complex subunit [Source:NCBI gene;Acc:393239],7,59169081,59176338,1
NRAP,ENSG00000197893,nebulin related anchoring protein [Source:HGNC Symbol;Acc:HGNC:7988],10,113588714,113664070,-1,ortholog_one2one,1,nrap,ENSDARG00000009341,nebulin-related anchoring protein [Source:ZFIN;Acc:ZDB-GENE-060616-224],12,30586599,30618440,1
TFDP1,ENSG00000198176,transcription factor Dp-1 [Source:HGNC Symbol;Acc:HGNC:11749],13,113584721,113641473,1,ortholog_one2one,1,tfdp1a,ENSDARG00000019293,"transcription factor Dp-1, a [Source:ZFIN;Acc:ZDB-GENE-040426-2883]",9,34950942,34968429,1
PRKAG1,ENSG00000181929,protein kinase AMP-activated non-catalytic subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:9385],12,49002274,49018807,-1,ortholog_one2one,1,prkag1,ENSDARG00000003818,"protein kinase, AMP-activated, gamma 1 non-catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-040426-2188]",6,2206495,2222707,-1
ARL8A,ENSG00000143862,ADP ribosylation factor like GTPase 8A [Source:HGNC Symbol;Acc:HGNC:25192],1,202133404,202144743,-1,ortholog_one2one,1,arl8a,ENSDARG00000078686,ADP-ribosylation factor-like 8A [Source:ZFIN;Acc:ZDB-GENE-030131-5025],22,710759,718615,-1
PDCD7,ENSG00000090470,programmed cell death 7 [Source:HGNC Symbol;Acc:HGNC:8767],15,65117379,65133808,-1,ortholog_one2one,1,pdcd7,ENSDARG00000038976,programmed cell death 7 [Source:ZFIN;Acc:ZDB-GENE-040728-3],7,13684012,13737618,1
GAB2,ENSG00000033327,GRB2 associated binding protein 2 [Source:HGNC Symbol;Acc:HGNC:14458],11,78215293,78418348,-1,ortholog_one2one,1,gab2,ENSDARG00000105120,GRB2-associated binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-130530-756],15,9444982,9593532,-1
IRF4,ENSG00000137265,interferon regulatory factor 4 [Source:HGNC Symbol;Acc:HGNC:6119],6,391752,411443,1,ortholog_one2one,1,irf4a,ENSDARG00000006560,interferon regulatory factor 4a [Source:ZFIN;Acc:ZDB-GENE-070912-330],2,854444,879800,-1
APMAP,ENSG00000101474,adipocyte plasma membrane associated protein [Source:HGNC Symbol;Acc:HGNC:13238],20,24962925,24992751,-1,ortholog_one2one,1,apmap,ENSDARG00000017422,adipocyte plasma membrane associated protein [Source:NCBI gene;Acc:266637],13,6219551,6239216,1
ATP1A2,ENSG00000018625,ATPase Na+/K+ transporting subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:800],1,160115759,160143591,1,ortholog_one2one,1,atp1a2a,ENSDARG00000010472,ATPase Na+/K+ transporting subunit alpha 2 [Source:ZFIN;Acc:ZDB-GENE-001212-6],2,44203075,44255537,-1
GOLPH3,ENSG00000113384,golgi phosphoprotein 3 [Source:HGNC Symbol;Acc:HGNC:15452],5,32124716,32174319,-1,ortholog_one2one,1,golph3,ENSDARG00000052851,golgi phosphoprotein 3 [Source:ZFIN;Acc:ZDB-GENE-041010-209],5,41082534,41103644,-1
ITGA8,ENSG00000077943,integrin subunit alpha 8 [Source:HGNC Symbol;Acc:HGNC:6144],10,15513954,15719922,-1,ortholog_one2one,1,itga8,ENSDARG00000078717,"integrin, alpha 8 [Source:ZFIN;Acc:ZDB-GENE-080220-48]",16,28383758,28512860,1
ADAMTS9,ENSG00000163638,ADAM metallopeptidase with thrombospondin type 1 motif 9 [Source:HGNC Symbol;Acc:HGNC:13202],3,64515654,64688000,-1,ortholog_one2one,1,adamts9,ENSDARG00000077778,"ADAM metallopeptidase with thrombospondin type 1 motif, 9 [Source:ZFIN;Acc:ZDB-GENE-070814-6]",11,19157879,19227802,1
PARP16,ENSG00000138617,poly(ADP-ribose) polymerase family member 16 [Source:HGNC Symbol;Acc:HGNC:26040],15,65234460,65300618,-1,ortholog_one2one,1,parp16,ENSDARG00000018593,"poly (ADP-ribose) polymerase family, member 16 [Source:ZFIN;Acc:ZDB-GENE-040426-2289]",25,31868268,31882618,1
PLG,ENSG00000122194,plasminogen [Source:HGNC Symbol;Acc:HGNC:9071],6,160702238,160754097,1,ortholog_one2one,1,plg,ENSDARG00000023111,plasminogen [Source:ZFIN;Acc:ZDB-GENE-030131-1411],20,42688488,42702884,-1
ACMSD,ENSG00000153086,aminocarboxymuconate semialdehyde decarboxylase [Source:HGNC Symbol;Acc:HGNC:19288],2,134838616,134902034,1,ortholog_one2one,1,acmsd,ENSDARG00000062549,aminocarboxymuconate semialdehyde decarboxylase [Source:ZFIN;Acc:ZDB-GENE-070410-103],9,23244292,23253870,-1
COLEC11,ENSG00000118004,collectin subfamily member 11 [Source:HGNC Symbol;Acc:HGNC:17213],2,3594832,3644644,1,ortholog_one2one,1,colec11,ENSDARG00000013266,collectin sub-family member 11 [Source:NCBI gene;Acc:492459],17,36516695,36529449,-1
MXD4,ENSG00000123933,MAX dimerization protein 4 [Source:HGNC Symbol;Acc:HGNC:13906],4,2247432,2262109,-1,ortholog_one2one,1,mxd4,ENSDARG00000054031,MAX dimerization protein 4 [Source:ZFIN;Acc:ZDB-GENE-050208-44],1,26071869,26096572,1
DEPTOR,ENSG00000155792,DEP domain containing MTOR interacting protein [Source:HGNC Symbol;Acc:HGNC:22953],8,119873717,120050918,1,ortholog_one2one,1,deptor,ENSDARG00000040930,DEP domain containing MTOR-interacting protein [Source:ZFIN;Acc:ZDB-GENE-061013-453],16,14588141,14675907,1
ABHD14B,ENSG00000114779,abhydrolase domain containing 14B [Source:HGNC Symbol;Acc:HGNC:28235],3,51968510,51983409,-1,ortholog_one2one,1,abhd14b,ENSDARG00000100531,abhydrolase domain containing 14B [Source:ZFIN;Acc:ZDB-GENE-040426-1342],6,53429228,53435711,1
HEPH,ENSG00000089472,hephaestin [Source:HGNC Symbol;Acc:HGNC:4866],X,66162671,66268867,1,ortholog_one2one,1,hephl1b,ENSDARG00000026403,hephaestin-like 1b [Source:ZFIN;Acc:ZDB-GENE-091204-388],10,24394023,24416471,-1
CIAO2B,ENSG00000166595,cytosolic iron-sulfur assembly component 2B [Source:HGNC Symbol;Acc:HGNC:24261],16,66932065,66934423,-1,ortholog_one2one,1,ciao2b,ENSDARG00000052010,cytosolic iron-sulfur assembly component 2B [Source:ZFIN;Acc:ZDB-GENE-040718-148],7,44965773,44970994,-1
SH3BGRL3,ENSG00000142669,SH3 domain binding glutamate rich protein like 3 [Source:HGNC Symbol;Acc:HGNC:15568],1,26280086,26281522,1,ortholog_one2one,1,sh3bgrl3,ENSDARG00000098075,SH3 domain binding glutamate-rich protein like 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1059],19,13939750,13950231,-1
RTRAF,ENSG00000087302,"RNA transcription, translation and transport factor [Source:HGNC Symbol;Acc:HGNC:23169]",14,51989514,52010694,1,ortholog_one2one,1,rtraf,ENSDARG00000009253,"RNA transcription, translation and transport factor [Source:NCBI gene;Acc:393240]",17,14784258,14794741,1
STEAP4,ENSG00000127954,STEAP4 metalloreductase [Source:HGNC Symbol;Acc:HGNC:21923],7,88270892,88306894,-1,ortholog_one2one,1,steap4,ENSDARG00000055901,STEAP family member 4 [Source:ZFIN;Acc:ZDB-GENE-070424-244],16,27734872,27749172,-1
YIPF3,ENSG00000137207,Yip1 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:21023],6,43511832,43516985,-1,ortholog_one2one,1,yipf3,ENSDARG00000020449,"Yip1 domain family, member 3 [Source:NCBI gene;Acc:334511]",13,3938526,3950673,1
AHCYL1,ENSG00000168710,adenosylhomocysteinase like 1 [Source:HGNC Symbol;Acc:HGNC:344],1,109984765,110023742,1,ortholog_one2one,1,ahcyl1,ENSDARG00000056331,adenosylhomocysteinase-like 1 [Source:ZFIN;Acc:ZDB-GENE-021206-7],8,24971890,25011157,-1
AGTRAP,ENSG00000177674,angiotensin II receptor associated protein [Source:HGNC Symbol;Acc:HGNC:13539],1,11736084,11754802,1,ortholog_one2one,1,agtrap,ENSDARG00000077082,angiotensin II receptor-associated protein [Source:ZFIN;Acc:ZDB-GENE-050309-11],11,16040517,16064291,1
GPR101,ENSG00000165370,G protein-coupled receptor 101 [Source:HGNC Symbol;Acc:HGNC:14963],X,137023929,137033995,-1,ortholog_one2one,1,gpr101,ENSDARG00000039218,G protein-coupled receptor 101 [Source:ZFIN;Acc:ZDB-GENE-070914-1],14,31890001,31893996,-1
MTG2,ENSG00000101181,mitochondrial ribosome associated GTPase 2 [Source:HGNC Symbol;Acc:HGNC:16239],20,62183028,62203568,1,ortholog_one2one,1,mtg2,ENSDARG00000063574,mitochondrial ribosome-associated GTPase 2 [Source:ZFIN;Acc:ZDB-GENE-030131-2209],23,547107,552539,-1
IDH3B,ENSG00000101365,isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:5385],20,2658395,2664219,-1,ortholog_one2one,1,idh3b,ENSDARG00000044753,isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta [Source:ZFIN;Acc:ZDB-GENE-040625-174],21,15733880,15749719,1
RPS27,ENSG00000177954,ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:10416],1,153990762,153992155,1,ortholog_one2one,1,rps27.1,ENSDARG00000023298,"ribosomal protein S27, isoform 1 [Source:ZFIN;Acc:ZDB-GENE-050522-549]",19,8743260,8748571,-1
MED6,ENSG00000133997,mediator complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:19970],14,70581257,70600690,-1,ortholog_one2one,1,med6,ENSDARG00000034734,mediator complex subunit 6 [Source:NCBI gene;Acc:415174],13,36135122,36141486,-1
ZZZ3,ENSG00000036549,zinc finger ZZ-type containing 3 [Source:HGNC Symbol;Acc:HGNC:24523],1,77562416,77683419,-1,ortholog_one2one,1,zzz3,ENSDARG00000077581,"zinc finger, ZZ-type containing 3 [Source:ZFIN;Acc:ZDB-GENE-030131-6450]",2,8778490,8842472,1
NAV2,ENSG00000166833,neuron navigator 2 [Source:HGNC Symbol;Acc:HGNC:15997],11,19350724,20121601,1,ortholog_one2one,1,nav2a,ENSDARG00000073688,neuron navigator 2a [Source:ZFIN;Acc:ZDB-GENE-120502-3],7,16806473,17015002,1
SLC24A5,ENSG00000188467,solute carrier family 24 member 5 [Source:HGNC Symbol;Acc:HGNC:20611],15,48120990,48142672,1,ortholog_one2one,1,slc24a5,ENSDARG00000024771,solute carrier family 24 member 5 [Source:ZFIN;Acc:ZDB-GENE-031210-1],18,5213338,5227420,1
SETBP1,ENSG00000152217,SET binding protein 1 [Source:HGNC Symbol;Acc:HGNC:15573],18,44680173,45068510,1,ortholog_one2one,1,setbp1,ENSDARG00000093799,SET binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-060526-72],5,52039067,52132978,1
CHKA,ENSG00000110721,choline kinase alpha [Source:HGNC Symbol;Acc:HGNC:1937],11,68052859,68121444,-1,ortholog_one2one,1,chka,ENSDARG00000041078,choline kinase alpha [Source:ZFIN;Acc:ZDB-GENE-050208-149],18,21122818,21145374,1
EBAG9,ENSG00000147654,estrogen receptor binding site associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:3123],8,109539711,109565996,1,ortholog_one2one,1,ebag9,ENSDARG00000040021,estrogen receptor binding site associated antigen 9 [Source:ZFIN;Acc:ZDB-GENE-040426-1093],16,39185103,39195318,-1
FST,ENSG00000134363,follistatin [Source:HGNC Symbol;Acc:HGNC:3971],5,53480626,53487134,1,ortholog_one2one,1,fsta,ENSDARG00000052846,follistatin a [Source:NCBI gene;Acc:100004116],5,40504910,40510399,-1
CHCHD10,ENSG00000250479,coiled-coil-helix-coiled-coil-helix domain containing 10 [Source:HGNC Symbol;Acc:HGNC:15559],22,23765834,23767972,-1,ortholog_one2one,1,chchd10,ENSDARG00000010717,coiled-coil-helix-coiled-coil-helix domain containing 10 [Source:ZFIN;Acc:ZDB-GENE-040426-1753],21,15704556,15708626,1
MYBL2,ENSG00000101057,MYB proto-oncogene like 2 [Source:HGNC Symbol;Acc:HGNC:7548],20,43667019,43716495,1,ortholog_one2one,1,mybl2b,ENSDARG00000032264,v-myb avian myeloblastosis viral oncogene homolog-like 2b [Source:ZFIN;Acc:ZDB-GENE-041007-1],11,1551603,1574656,1
PKIG,ENSG00000168734,cAMP-dependent protein kinase inhibitor gamma [Source:HGNC Symbol;Acc:HGNC:9019],20,44531785,44624247,1,ortholog_one2one,1,pkig,ENSDARG00000086471,"protein kinase (cAMP-dependent, catalytic) inhibitor gamma [Source:ZFIN;Acc:ZDB-GENE-050302-97]",23,25879320,25942859,1
KIAA0895,ENSG00000164542,KIAA0895 [Source:HGNC Symbol;Acc:HGNC:22206],7,36324152,36390125,-1,ortholog_one2one,1,si:dkey-222b8.4,ENSDARG00000057227,si:dkey-222b8.4 [Source:ZFIN;Acc:ZDB-GENE-060503-438],19,23875382,23895839,-1
PUDP,ENSG00000130021,pseudouridine 5'-phosphatase [Source:HGNC Symbol;Acc:HGNC:16818],X,6667865,7148158,-1,ortholog_one2one,1,pudp,ENSDARG00000027826,pseudouridine 5'-phosphatase [Source:ZFIN;Acc:ZDB-GENE-050522-36],1,32341484,32385665,1
SLC15A4,ENSG00000139370,solute carrier family 15 member 4 [Source:HGNC Symbol;Acc:HGNC:23090],12,128793194,128823958,-1,ortholog_one2one,1,slc15a4,ENSDARG00000102612,solute carrier family 15 member 4 [Source:ZFIN;Acc:ZDB-GENE-040426-1047],8,35809081,35960987,-1
P2RY8,ENSG00000182162,P2Y receptor family member 8 [Source:HGNC Symbol;Acc:HGNC:15524],X,1462581,1537185,-1,ortholog_one2one,1,p2ry8,ENSDARG00000055560,P2Y receptor family member 8 [Source:ZFIN;Acc:ZDB-GENE-070912-447],9,34884933,34885902,-1
RPS28,ENSG00000233927,ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:10418],19,8321158,8323340,1,ortholog_one2one,1,rps28,ENSDARG00000035860,ribosomal protein S28 [Source:NCBI gene;Acc:406307],2,24507597,24509698,1
PHYHD1,ENSG00000175287,phytanoyl-CoA dioxygenase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23396],9,128920966,128942041,1,ortholog_one2one,1,phyhd1,ENSDARG00000029905,phytanoyl-CoA dioxygenase domain containing 1 [Source:NCBI gene;Acc:492804],21,4508959,4525080,1
MFRP,ENSG00000235718,membrane frizzled-related protein [Source:HGNC Symbol;Acc:HGNC:18121],11,119338942,119346705,-1,ortholog_one2one,1,mfrp,ENSDARG00000087814,membrane frizzled-related protein [Source:ZFIN;Acc:ZDB-GENE-160728-150],15,464229,477223,-1
KMT2C,ENSG00000055609,lysine methyltransferase 2C [Source:HGNC Symbol;Acc:HGNC:13726],7,152134922,152436644,-1,ortholog_one2one,1,kmt2cb,ENSDARG00000075560,lysine (K)-specific methyltransferase 2Cb [Source:ZFIN;Acc:ZDB-GENE-070705-340],2,12847602,13037544,1
JOSD1,ENSG00000100221,Josephin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28953],22,38685543,38701556,-1,ortholog_one2one,1,josd1,ENSDARG00000071548,Josephin domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-060929-260],12,18906407,18915531,1
