Gene.name.mouse,Gene.stable.ID.mouse,Gene.description.mouse,Chromosome.scaffold.name.mouse,Gene.start..bp.mouse,Gene.end..bp.mouse,Strand.mouse,homology.type,orthology.confidence..0.low..1.high.,Gene.name.human,Gene.stable.ID.human,Gene.description.human,Chromosome.scaffold.name.human,Gene.start..bp.human,Gene.end..bp.human,Strand.1.human
Tmx4,ENSMUSG00000034723,thioredoxin-related transmembrane protein 4 [Source:MGI Symbol;Acc:MGI:106558],2,134436105,134486065,-1,ortholog_one2one,1,TMX4,ENSG00000125827,thioredoxin related transmembrane protein 4 [Source:HGNC Symbol;Acc:HGNC:25237],20,7977346,8019805,-1
Zfp397,ENSMUSG00000024276,zinc finger protein 397 [Source:MGI Symbol;Acc:MGI:1916506],18,24087749,24097730,1,ortholog_one2one,1,ZNF397,ENSG00000186812,zinc finger protein 397 [Source:HGNC Symbol;Acc:HGNC:18818],18,35241030,35267133,1
Tecrl,ENSMUSG00000049537,"trans-2,3-enoyl-CoA reductase-like [Source:MGI Symbol;Acc:MGI:2444966]",5,83425992,83503042,-1,ortholog_one2one,1,TECRL,ENSG00000205678,"trans-2,3-enoyl-CoA reductase like [Source:HGNC Symbol;Acc:HGNC:27365]",4,64275257,64409468,-1
Mir99a,ENSMUSG00000065530,microRNA 99a [Source:MGI Symbol;Acc:MGI:2676912],16,77395824,77395888,1,ortholog_one2one,1,MIR99A,ENSG00000207638,microRNA 99a [Source:HGNC Symbol;Acc:HGNC:31650],21,16539089,16539169,1
Zc4h2,ENSMUSG00000035062,"zinc finger, C4H2 domain containing [Source:MGI Symbol;Acc:MGI:2679294]",X,94682799,94702115,-1,ortholog_one2one,1,ZC4H2,ENSG00000126970,zinc finger C4H2-type containing [Source:HGNC Symbol;Acc:HGNC:24931],X,64915802,65034713,-1
Fermt2,ENSMUSG00000037712,fermitin family member 2 [Source:MGI Symbol;Acc:MGI:2385001],14,45696252,45767575,-1,ortholog_one2one,1,FERMT2,ENSG00000073712,FERM domain containing kindlin 2 [Source:HGNC Symbol;Acc:HGNC:15767],14,52857268,52952435,-1
Pi4ka,ENSMUSG00000041720,phosphatidylinositol 4-kinase alpha [Source:MGI Symbol;Acc:MGI:2448506],16,17098215,17224178,-1,ortholog_one2one,1,PI4KA,ENSG00000241973,phosphatidylinositol 4-kinase alpha [Source:HGNC Symbol;Acc:HGNC:8983],22,20707691,20859417,-1
Slc35e4,ENSMUSG00000048807,"solute carrier family 35, member E4 [Source:MGI Symbol;Acc:MGI:2144150]",11,3857021,3864664,-1,ortholog_one2one,1,SLC35E4,ENSG00000100036,solute carrier family 35 member E4 [Source:HGNC Symbol;Acc:HGNC:17058],22,30635781,30669016,1
Fgf16,ENSMUSG00000031230,fibroblast growth factor 16 [Source:MGI Symbol;Acc:MGI:1931627],X,104807885,104818545,1,ortholog_one2one,1,FGF16,ENSG00000196468,fibroblast growth factor 16 [Source:HGNC Symbol;Acc:HGNC:3672],X,77447389,77457278,1
Pgrmc1,ENSMUSG00000006373,progesterone receptor membrane component 1 [Source:MGI Symbol;Acc:MGI:1858305],X,35861859,35869732,1,ortholog_one2one,1,PGRMC1,ENSG00000101856,progesterone receptor membrane component 1 [Source:HGNC Symbol;Acc:HGNC:16090],X,119236245,119244466,1
Dok5,ENSMUSG00000027560,docking protein 5 [Source:MGI Symbol;Acc:MGI:1924079],2,170573727,170721689,1,ortholog_one2one,1,DOK5,ENSG00000101134,docking protein 5 [Source:HGNC Symbol;Acc:HGNC:16173],20,54475593,54651169,1
Sh3bp2,ENSMUSG00000054520,SH3-domain binding protein 2 [Source:MGI Symbol;Acc:MGI:1346349],5,34683182,34720985,1,ortholog_one2one,1,SH3BP2,ENSG00000087266,SH3 domain binding protein 2 [Source:HGNC Symbol;Acc:HGNC:10825],4,2793071,2841098,1
Tceal7,ENSMUSG00000079428,transcription elongation factor A (SII)-like 7 [Source:MGI Symbol;Acc:MGI:1915746],X,135115528,135126849,1,ortholog_one2one,1,TCEAL7,ENSG00000182916,transcription elongation factor A like 7 [Source:HGNC Symbol;Acc:HGNC:28336],X,103330229,103332326,1
Cerk,ENSMUSG00000035891,ceramide kinase [Source:MGI Symbol;Acc:MGI:2386052],15,86023329,86070342,-1,ortholog_one2one,1,CERK,ENSG00000100422,ceramide kinase [Source:HGNC Symbol;Acc:HGNC:19256],22,46684410,46738252,-1
Ankrd9,ENSMUSG00000037904,ankyrin repeat domain 9 [Source:MGI Symbol;Acc:MGI:1921501],12,110941787,110945474,-1,ortholog_one2one,1,ANKRD9,ENSG00000156381,ankyrin repeat domain 9 [Source:HGNC Symbol;Acc:HGNC:20096],14,102501767,102509799,-1
Sycp2,ENSMUSG00000060445,synaptonemal complex protein 2 [Source:MGI Symbol;Acc:MGI:1933281],2,177987086,178049478,-1,ortholog_one2one,1,SYCP2,ENSG00000196074,synaptonemal complex protein 2 [Source:HGNC Symbol;Acc:HGNC:11490],20,59863564,59933655,-1
Dennd6b,ENSMUSG00000015377,DENN/MADD domain containing 6B [Source:MGI Symbol;Acc:MGI:1916690],15,89066416,89080699,-1,ortholog_one2one,1,DENND6B,ENSG00000205593,DENN domain containing 6B [Source:HGNC Symbol;Acc:HGNC:32690],22,50309030,50327012,-1
Arl5b,ENSMUSG00000017418,ADP-ribosylation factor-like 5B [Source:MGI Symbol;Acc:MGI:1923119],2,15054206,15087267,1,ortholog_one2one,1,ARL5B,ENSG00000165997,ADP ribosylation factor like GTPase 5B [Source:HGNC Symbol;Acc:HGNC:23052],10,18659431,18681639,1
0610040J01Rik,ENSMUSG00000060512,RIKEN cDNA 0610040J01 gene [Source:MGI Symbol;Acc:MGI:1923511],5,63969706,64056968,1,ortholog_one2one,1,C4orf19,ENSG00000154274,chromosome 4 open reading frame 19 [Source:HGNC Symbol;Acc:HGNC:25618],4,37453925,37623495,1
Gpr50,ENSMUSG00000056380,G-protein-coupled receptor 50 [Source:MGI Symbol;Acc:MGI:1333877],X,70707273,70712863,1,ortholog_one2one,1,GPR50,ENSG00000102195,G protein-coupled receptor 50 [Source:HGNC Symbol;Acc:HGNC:4506],X,151176584,151181465,1
Lingo2,ENSMUSG00000045083,leucine rich repeat and Ig domain containing 2 [Source:MGI Symbol;Acc:MGI:2442298],4,35706647,36951747,-1,ortholog_one2one,1,LINGO2,ENSG00000174482,leucine rich repeat and Ig domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21207],9,27948078,28670286,-1
Nrde2,ENSMUSG00000021179,"nrde-2 necessary for RNA interference, domain containing [Source:MGI Symbol;Acc:MGI:2670969]",12,100091711,100125912,-1,ortholog_one2one,1,NRDE2,ENSG00000119720,"NRDE-2, necessary for RNA interference, domain containing [Source:HGNC Symbol;Acc:HGNC:20186]",14,90267860,90331969,-1
Dzank1,ENSMUSG00000037259,double zinc ribbon and ankyrin repeat domains 1 [Source:MGI Symbol;Acc:MGI:2139080],2,144312477,144369334,-1,ortholog_one2one,1,DZANK1,ENSG00000089091,double zinc ribbon and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:15858],20,18383367,18467281,-1
Tox2,ENSMUSG00000074607,TOX high mobility group box family member 2 [Source:MGI Symbol;Acc:MGI:3611233],2,163045045,163166090,1,ortholog_one2one,1,TOX2,ENSG00000124191,TOX high mobility group box family member 2 [Source:HGNC Symbol;Acc:HGNC:16095],20,43914852,44069616,1
Ndufv3,ENSMUSG00000024038,NADH:ubiquinone oxidoreductase core subunit V3 [Source:MGI Symbol;Acc:MGI:1890894],17,31739089,31750305,1,ortholog_one2one,1,NDUFV3,ENSG00000160194,NADH:ubiquinone oxidoreductase subunit V3 [Source:HGNC Symbol;Acc:HGNC:7719],21,42879644,42913304,1
Alg13,ENSMUSG00000041718,asparagine-linked glycosylation 13 [Source:MGI Symbol;Acc:MGI:1914824],X,143100800,143157446,1,ortholog_one2one,1,ALG13,ENSG00000101901,ALG13 UDP-N-acetylglucosaminyltransferase subunit [Source:HGNC Symbol;Acc:HGNC:30881],X,111665811,111760649,1
Adgrg4,ENSMUSG00000053852,adhesion G protein-coupled receptor G4 [Source:MGI Symbol;Acc:MGI:2685213],X,55915523,56046918,1,ortholog_one2one,1,ADGRG4,ENSG00000156920,adhesion G protein-coupled receptor G4 [Source:HGNC Symbol;Acc:HGNC:18992],X,136300963,136416890,1
Rwdd2b,ENSMUSG00000041079,RWD domain containing 2B [Source:MGI Symbol;Acc:MGI:1858215],16,87230295,87237461,-1,ortholog_one2one,1,RWDD2B,ENSG00000156253,RWD domain containing 2B [Source:HGNC Symbol;Acc:HGNC:1302],21,29004384,29019360,-1
Slc5a1,ENSMUSG00000011034,"solute carrier family 5 (sodium/glucose cotransporter), member 1 [Source:MGI Symbol;Acc:MGI:107678]",5,33261563,33320214,1,ortholog_one2one,1,SLC5A1,ENSG00000100170,solute carrier family 5 member 1 [Source:HGNC Symbol;Acc:HGNC:11036],22,32043261,32113029,1
Il2ra,ENSMUSG00000026770,"interleukin 2 receptor, alpha chain [Source:MGI Symbol;Acc:MGI:96549]",2,11647618,11698004,1,ortholog_one2one,1,IL2RA,ENSG00000134460,interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008],10,6010689,6062370,-1
Zfp512b,ENSMUSG00000000823,zinc finger protein 512B [Source:MGI Symbol;Acc:MGI:2685478],2,181223896,181234596,-1,ortholog_one2one,1,ZNF512B,ENSG00000196700,zinc finger protein 512B [Source:HGNC Symbol;Acc:HGNC:29212],20,63956704,63969930,-1
Lhfp,ENSMUSG00000048332,lipoma HMGIC fusion partner [Source:MGI Symbol;Acc:MGI:1920048],3,52948949,53169100,1,ortholog_one2one,1,LHFPL6,ENSG00000183722,LHFPL tetraspan subfamily member 6 [Source:HGNC Symbol;Acc:HGNC:6586],13,39209116,39603528,-1
Dnajc28,ENSMUSG00000039763,DnaJ heat shock protein family (Hsp40) member C28 [Source:MGI Symbol;Acc:MGI:2181053],16,91411142,91415914,-1,ortholog_one2one,1,DNAJC28,ENSG00000177692,DnaJ heat shock protein family (Hsp40) member C28 [Source:HGNC Symbol;Acc:HGNC:1297],21,33485530,33491716,-1
Crls1,ENSMUSG00000027357,cardiolipin synthase 1 [Source:MGI Symbol;Acc:MGI:1913836],2,132688586,132708705,1,ortholog_one2one,1,CRLS1,ENSG00000088766,cardiolipin synthase 1 [Source:HGNC Symbol;Acc:HGNC:16148],20,6006093,6040053,1
Ybey,ENSMUSG00000033126,ybeY metallopeptidase [Source:MGI Symbol;Acc:MGI:2656825],10,76295401,76304948,-1,ortholog_one2one,1,YBEY,ENSG00000182362,ybeY metalloendoribonuclease [Source:HGNC Symbol;Acc:HGNC:1299],21,46286342,46297751,1
Cst8,ENSMUSG00000027442,cystatin 8 (cystatin-related epididymal spermatogenic) [Source:MGI Symbol;Acc:MGI:107161],2,148640705,148647515,1,ortholog_one2one,1,CST8,ENSG00000125815,cystatin 8 [Source:HGNC Symbol;Acc:HGNC:2480],20,23491101,23496010,1
Klhl9,ENSMUSG00000070923,kelch-like 9 [Source:MGI Symbol;Acc:MGI:2180122],4,88636529,88640702,-1,ortholog_one2one,1,KLHL9,ENSG00000198642,kelch like family member 9 [Source:HGNC Symbol;Acc:HGNC:18732],9,21329665,21335404,-1
Tmem200c,ENSMUSG00000095407,transmembrane protein 200C [Source:MGI Symbol;Acc:MGI:3646281],17,69133618,69150134,1,ortholog_one2one,1,TMEM200C,ENSG00000206432,transmembrane protein 200C [Source:HGNC Symbol;Acc:HGNC:37208],18,5882072,5895955,-1
Rspo4,ENSMUSG00000032852,R-spondin 4 [Source:MGI Symbol;Acc:MGI:1924467],2,151684847,151716588,1,ortholog_one2one,1,RSPO4,ENSG00000101282,R-spondin 4 [Source:HGNC Symbol;Acc:HGNC:16175],20,958452,1002311,-1
Slc35c2,ENSMUSG00000017664,"solute carrier family 35, member C2 [Source:MGI Symbol;Acc:MGI:2385166]",2,165118474,165129789,-1,ortholog_one2one,1,SLC35C2,ENSG00000080189,solute carrier family 35 member C2 [Source:HGNC Symbol;Acc:HGNC:17117],20,46345980,46364458,-1
Rae1,ENSMUSG00000027509,ribonucleic acid export 1 [Source:MGI Symbol;Acc:MGI:1913929],2,172841910,172857532,1,ortholog_one2one,1,RAE1,ENSG00000101146,ribonucleic acid export 1 [Source:HGNC Symbol;Acc:HGNC:9828],20,57351223,57379211,1
Phlpp1,ENSMUSG00000044340,PH domain and leucine rich repeat protein phosphatase 1 [Source:MGI Symbol;Acc:MGI:2138327],1,106099482,106321980,1,ortholog_one2one,1,PHLPP1,ENSG00000081913,PH domain and leucine rich repeat protein phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:20610],18,62715541,62980433,1
Cbr3,ENSMUSG00000022947,carbonyl reductase 3 [Source:MGI Symbol;Acc:MGI:1309992],16,93480103,93487878,1,ortholog_one2one,1,CBR3,ENSG00000159231,carbonyl reductase 3 [Source:HGNC Symbol;Acc:HGNC:1549],21,36135079,36146562,1
Cdkn2b,ENSMUSG00000073802,cyclin dependent kinase inhibitor 2B [Source:MGI Symbol;Acc:MGI:104737],4,89224536,89229276,-1,ortholog_one2one,1,CDKN2B,ENSG00000147883,cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788],9,22002903,22009305,-1
Rnf17,ENSMUSG00000000365,ring finger protein 17 [Source:MGI Symbol;Acc:MGI:1353419],14,56640038,56762489,1,ortholog_one2one,1,RNF17,ENSG00000132972,ring finger protein 17 [Source:HGNC Symbol;Acc:HGNC:10060],13,24764169,24879921,1
Ska1,ENSMUSG00000036223,spindle and kinetochore associated complex subunit 1 [Source:MGI Symbol;Acc:MGI:1913718],18,74328370,74340889,-1,ortholog_one2one,1,SKA1,ENSG00000154839,spindle and kinetochore associated complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28109],18,50375040,50394168,1
Il13ra1,ENSMUSG00000017057,"interleukin 13 receptor, alpha 1 [Source:MGI Symbol;Acc:MGI:105052]",X,35375763,35434912,1,ortholog_one2one,1,IL13RA1,ENSG00000131724,interleukin 13 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:5974],X,118727133,118794535,1
Gabra3,ENSMUSG00000031343,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 3 [Source:MGI Symbol;Acc:MGI:95615]",X,71476287,71700454,-1,ortholog_one2one,1,GABRA3,ENSG00000011677,gamma-aminobutyric acid type A receptor subunit alpha3 [Source:HGNC Symbol;Acc:HGNC:4077],X,152166234,152451315,-1
Slc39a6,ENSMUSG00000024270,"solute carrier family 39 (metal ion transporter), member 6 [Source:MGI Symbol;Acc:MGI:2147279]",18,24712938,24736874,-1,ortholog_one2one,1,SLC39A6,ENSG00000141424,solute carrier family 39 member 6 [Source:HGNC Symbol;Acc:HGNC:18607],18,36108531,36129385,-1
Tm9sf2,ENSMUSG00000025544,transmembrane 9 superfamily member 2 [Source:MGI Symbol;Acc:MGI:1915309],14,122344450,122397016,1,ortholog_one2one,1,TM9SF2,ENSG00000125304,transmembrane 9 superfamily member 2 [Source:HGNC Symbol;Acc:HGNC:11865],13,99446311,99564048,1
Tcf4,ENSMUSG00000053477,transcription factor 4 [Source:MGI Symbol;Acc:MGI:98506],18,69476427,69822150,1,ortholog_one2one,1,TCF4,ENSG00000196628,transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11634],18,55222185,55664787,-1
Ggt7,ENSMUSG00000027603,gamma-glutamyltransferase 7 [Source:MGI Symbol;Acc:MGI:1913385],2,155332299,155360157,-1,ortholog_one2one,1,GGT7,ENSG00000131067,gamma-glutamyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4259],20,34844720,34872856,-1
Exoc5,ENSMUSG00000061244,exocyst complex component 5 [Source:MGI Symbol;Acc:MGI:2145645],14,49241547,49304110,-1,ortholog_one2one,1,EXOC5,ENSG00000070367,exocyst complex component 5 [Source:HGNC Symbol;Acc:HGNC:10696],14,57200507,57268905,-1
Cmc4,ENSMUSG00000090110,C-x(9)-C motif containing 4 [Source:MGI Symbol;Acc:MGI:5637812],X,74448452,74460190,-1,ortholog_one2one,1,CMC4,ENSG00000182712,C-X9-C motif containing 4 [Source:HGNC Symbol;Acc:HGNC:35428],X,155061622,155071136,-1
Mis18a,ENSMUSG00000022978,MIS18 kinetochore protein A [Source:MGI Symbol;Acc:MGI:1913828],16,90516200,90524292,-1,ortholog_one2one,1,MIS18A,ENSG00000159055,MIS18 kinetochore protein A [Source:HGNC Symbol;Acc:HGNC:1286],21,32268228,32279049,-1
AW554918,ENSMUSG00000033632,expressed sequence AW554918 [Source:MGI Symbol;Acc:MGI:2147376],18,25302056,25600378,1,ortholog_one2one,1,KIAA1328,ENSG00000150477,KIAA1328 [Source:HGNC Symbol;Acc:HGNC:29248],18,36829106,37232172,1
Fam110a,ENSMUSG00000027459,"family with sequence similarity 110, member A [Source:MGI Symbol;Acc:MGI:1921097]",2,151811318,151822139,-1,ortholog_one2one,1,FAM110A,ENSG00000125898,family with sequence similarity 110 member A [Source:HGNC Symbol;Acc:HGNC:16188],20,833715,857463,1
Bfsp1,ENSMUSG00000027420,"beaded filament structural protein 1, in lens-CP94 [Source:MGI Symbol;Acc:MGI:101770]",2,143668448,143705093,-1,ortholog_one2one,1,BFSP1,ENSG00000125864,beaded filament structural protein 1 [Source:HGNC Symbol;Acc:HGNC:1040],20,17493905,17569220,-1
Syt4,ENSMUSG00000024261,synaptotagmin IV [Source:MGI Symbol;Acc:MGI:101759],18,31570861,31580459,-1,ortholog_one2one,1,SYT4,ENSG00000132872,synaptotagmin 4 [Source:HGNC Symbol;Acc:HGNC:11512],18,43267892,43277535,-1
Psma7,ENSMUSG00000027566,proteasome subunit alpha 7 [Source:MGI Symbol;Acc:MGI:1347070],2,179678167,179684226,-1,ortholog_one2one,1,PSMA7,ENSG00000101182,proteasome 20S subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:9536],20,62136733,62143440,-1
Nova1,ENSMUSG00000021047,NOVA alternative splicing regulator 1 [Source:MGI Symbol;Acc:MGI:104297],12,46741300,46865712,-1,ortholog_one2one,1,NOVA1,ENSG00000139910,NOVA alternative splicing regulator 1 [Source:HGNC Symbol;Acc:HGNC:7886],14,26443090,26598033,-1
Cyyr1,ENSMUSG00000041134,cysteine and tyrosine-rich protein 1 [Source:MGI Symbol;Acc:MGI:2152187],16,85218421,85350285,-1,ortholog_one2one,1,CYYR1,ENSG00000166265,cysteine and tyrosine rich 1 [Source:HGNC Symbol;Acc:HGNC:16274],21,26466209,26573286,-1
Tmem63c,ENSMUSG00000034145,transmembrane protein 63c [Source:MGI Symbol;Acc:MGI:2444386],12,87068114,87136817,1,ortholog_one2one,1,TMEM63C,ENSG00000165548,transmembrane protein 63C [Source:HGNC Symbol;Acc:HGNC:23787],14,77116568,77259495,1
Meig1,ENSMUSG00000026650,meiosis expressed gene 1 [Source:MGI Symbol;Acc:MGI:1202878],2,3410080,3423685,-1,ortholog_one2one,1,MEIG1,ENSG00000197889,meiosis/spermiogenesis associated 1 [Source:HGNC Symbol;Acc:HGNC:23429],10,14959388,14988050,1
Parp4,ENSMUSG00000054509,"poly (ADP-ribose) polymerase family, member 4 [Source:MGI Symbol;Acc:MGI:2685589]",14,56813076,56897251,1,ortholog_one2one,1,PARP4,ENSG00000102699,poly(ADP-ribose) polymerase family member 4 [Source:HGNC Symbol;Acc:HGNC:271],13,24420931,24512778,-1
Rnf128,ENSMUSG00000031438,ring finger protein 128 [Source:MGI Symbol;Acc:MGI:1914139],X,138464065,138573894,1,ortholog_one2one,1,RNF128,ENSG00000133135,ring finger protein 128 [Source:HGNC Symbol;Acc:HGNC:21153],X,106693794,106797016,1
Tbc1d14,ENSMUSG00000029192,"TBC1 domain family, member 14 [Source:MGI Symbol;Acc:MGI:1098708]",5,36647948,36750620,-1,ortholog_one2one,1,TBC1D14,ENSG00000132405,TBC1 domain family member 14 [Source:HGNC Symbol;Acc:HGNC:29246],4,6909242,7033118,1
Dlgap1,ENSMUSG00000003279,DLG associated protein 1 [Source:MGI Symbol;Acc:MGI:1346065],17,70276068,71128408,1,ortholog_one2one,1,DLGAP1,ENSG00000170579,DLG associated protein 1 [Source:HGNC Symbol;Acc:HGNC:2905],18,3496032,4455307,-1
Inpp5j,ENSMUSG00000034570,inositol polyphosphate 5-phosphatase J [Source:MGI Symbol;Acc:MGI:2158663],11,3444375,3454821,-1,ortholog_one2one,1,INPP5J,ENSG00000185133,inositol polyphosphate-5-phosphatase J [Source:HGNC Symbol;Acc:HGNC:8956],22,31122731,31134697,1
Atp5k,ENSMUSG00000050856,"ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit E [Source:MGI Symbol;Acc:MGI:106636]",5,108581110,108582314,-1,ortholog_one2one,1,ATP5ME,ENSG00000169020,ATP synthase membrane subunit e [Source:HGNC Symbol;Acc:HGNC:846],4,672436,674330,-1
Fgf13,ENSMUSG00000031137,fibroblast growth factor 13 [Source:MGI Symbol;Acc:MGI:109178],X,58107505,58613431,-1,ortholog_one2one,1,FGF13,ENSG00000129682,fibroblast growth factor 13 [Source:HGNC Symbol;Acc:HGNC:3670],X,138614727,139222777,-1
