Gene.name.mouse,Gene.stable.mouse,Gene.description.mouse,Chromosome.scaffold.name.mouse,Gene.start..bp.mouse,Gene.end..bp.mouse,Strand.mouse,homology.type,orthology.confidence..0.low..1.high,Gene.name.zebrafish,Gene.stable.ID.zebrafish,Gene.description.zebrafish,Chromosome.scaffold.name.zebrafish,Gene.start..bp.zebrafish,Gene.end..bp.zebrafish,Strand.zebrafish
Pkig,ENSMUSG00000035268,"protein kinase inhibitor, gamma [Source:MGI Symbol;Acc:MGI:1343086]",2,163500306,163568078,1,ortholog_one2one,1,pkig,ENSDARG00000086471,"protein kinase (cAMP-dependent, catalytic) inhibitor gamma [Source:ZFIN;Acc:ZDB-GENE-050302-97]",23,25879320,25942859,1
Arl8a,ENSMUSG00000026426,ADP-ribosylation factor-like 8A [Source:MGI Symbol;Acc:MGI:1915974],1,135074562,135084007,1,ortholog_one2one,1,arl8a,ENSDARG00000078686,ADP-ribosylation factor-like 8A [Source:ZFIN;Acc:ZDB-GENE-030131-5025],22,710759,718615,-1
Acmsd,ENSMUSG00000026348,amino carboxymuconate semialdehyde decarboxylase [Source:MGI Symbol;Acc:MGI:2386323],1,127657150,127695715,1,ortholog_one2one,1,acmsd,ENSDARG00000062549,aminocarboxymuconate semialdehyde decarboxylase [Source:ZFIN;Acc:ZDB-GENE-070410-103],9,23244292,23253870,-1
Golph3,ENSMUSG00000022200,golgi phosphoprotein 3 [Source:MGI Symbol;Acc:MGI:1913879],15,12321536,12351677,1,ortholog_one2one,1,golph3,ENSDARG00000052851,golgi phosphoprotein 3 [Source:ZFIN;Acc:ZDB-GENE-041010-209],5,41082534,41103644,-1
Nav2,ENSMUSG00000052512,neuron navigator 2 [Source:MGI Symbol;Acc:MGI:2183691],7,48558464,49259838,1,ortholog_one2one,1,nav2a,ENSDARG00000073688,neuron navigator 2a [Source:ZFIN;Acc:ZDB-GENE-120502-3],7,16806473,17015002,1
Phyhd1,ENSMUSG00000079484,phytanoyl-CoA dioxygenase domain containing 1 [Source:MGI Symbol;Acc:MGI:3612860],2,30156215,30172161,1,ortholog_one2one,1,phyhd1,ENSDARG00000029905,phytanoyl-CoA dioxygenase domain containing 1 [Source:NCBI gene;Acc:492804],21,4508959,4525080,1
Gab2,ENSMUSG00000004508,growth factor receptor bound protein 2-associated protein 2 [Source:MGI Symbol;Acc:MGI:1333854],7,96730793,96958153,1,ortholog_one2one,1,gab2,ENSDARG00000105120,GRB2-associated binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-130530-756],15,9444982,9593532,-1
Slc24a5,ENSMUSG00000035183,"solute carrier family 24, member 5 [Source:MGI Symbol;Acc:MGI:2677271]",2,124910044,124930597,1,ortholog_one2one,1,slc24a5,ENSDARG00000024771,solute carrier family 24 member 5 [Source:ZFIN;Acc:ZDB-GENE-031210-1],18,5213338,5227420,1
Tyw1,ENSMUSG00000056310,tRNA-yW synthesizing protein 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2141161],5,130284460,130370404,1,ortholog_one2one,1,tyw1,ENSDARG00000062987,tRNA-yW synthesizing protein 1 homolog (S. cerevisiae) [Source:NCBI gene;Acc:562076],15,16739160,16872600,-1
Yipf3,ENSMUSG00000071074,"Yip1 domain family, member 3 [Source:MGI Symbol;Acc:MGI:106280]",17,46559006,46563463,1,ortholog_one2one,1,yipf3,ENSDARG00000020449,"Yip1 domain family, member 3 [Source:NCBI gene;Acc:334511]",13,3938526,3950673,1
Gm572,ENSMUSG00000070577,predicted gene 572 [Source:MGI Symbol;Acc:MGI:2685418],4,148727774,148756029,1,ortholog_one2one,1,si:ch211-129o18.4,ENSDARG00000098029,si:ch211-129o18.4 [Source:ZFIN;Acc:ZDB-GENE-090313-22],23,29333851,29357764,-1
Zzz3,ENSMUSG00000039068,"zinc finger, ZZ domain containing 3 [Source:MGI Symbol;Acc:MGI:1920453]",3,152101110,152168463,1,ortholog_one2one,1,zzz3,ENSDARG00000077581,"zinc finger, ZZ-type containing 3 [Source:ZFIN;Acc:ZDB-GENE-030131-6450]",2,8778490,8842472,1
2700097O09Rik,ENSMUSG00000062198,RIKEN cDNA 2700097O09 gene [Source:MGI Symbol;Acc:MGI:1919908],12,55092446,55126895,-1,ortholog_one2one,1,zgc:109986,ENSDARG00000102608,zgc:109986 [Source:ZFIN;Acc:ZDB-GENE-050522-136],17,10062045,10073926,-1
Adamts9,ENSMUSG00000030022,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9 [Source:MGI Symbol;Acc:MGI:1916320]",6,92749680,92920473,-1,ortholog_one2one,1,adamts9,ENSDARG00000077778,"ADAM metallopeptidase with thrombospondin type 1 motif, 9 [Source:ZFIN;Acc:ZDB-GENE-070814-6]",11,19157879,19227802,1
Arhgef38,ENSMUSG00000040969,Rho guanine nucleotide exchange factor (GEF) 38 [Source:MGI Symbol;Acc:MGI:1924919],3,132818039,132940710,-1,ortholog_one2one,1,arhgef38,ENSDARG00000079377,Rho guanine nucleotide exchange factor (GEF) 38 [Source:ZFIN;Acc:ZDB-GENE-090313-83],1,26411496,26437820,1
Zcrb1,ENSMUSG00000022635,zinc finger CCHC-type and RNA binding motif 1 [Source:MGI Symbol;Acc:MGI:1914447],15,93283978,93296215,-1,ortholog_one2one,1,zcrb1,ENSDARG00000045691,zinc finger CCHC-type and RNA binding motif 1 [Source:NCBI gene;Acc:550251],4,13923927,13931508,-1
Nyx,ENSMUSG00000051228,nyctalopin [Source:MGI Symbol;Acc:MGI:2448607],X,13332349,13355552,1,ortholog_one2one,1,nyx,ENSDARG00000061791,nyctalopin [Source:ZFIN;Acc:ZDB-GENE-061026-3],9,33357011,33361199,1
Atp9b,ENSMUSG00000024566,"ATPase, class II, type 9B [Source:MGI Symbol;Acc:MGI:1354757]",18,80777356,80977275,-1,ortholog_one2one,1,atp9b,ENSDARG00000062521,ATPase phospholipid transporting 9B [Source:NCBI gene;Acc:568160],19,22074468,22177248,1
Ccdc24,ENSMUSG00000078588,coiled-coil domain containing 24 [Source:MGI Symbol;Acc:MGI:2685874],4,117723721,117729754,-1,ortholog_one2one,1,ccdc24,ENSDARG00000038793,coiled-coil domain containing 24 [Source:ZFIN;Acc:ZDB-GENE-050327-18],2,33422411,33455274,-1
Cox10,ENSMUSG00000042148,heme A:farnesyltransferase cytochrome c oxidase assembly factor 10 [Source:MGI Symbol;Acc:MGI:1917633],11,63853453,63970294,-1,ortholog_one2one,1,cox10,ENSDARG00000034309,cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10 [Source:ZFIN;Acc:ZDB-GENE-041111-239],12,36891483,36960525,1
Tmc8,ENSMUSG00000050106,transmembrane channel-like gene family 8 [Source:MGI Symbol;Acc:MGI:2669037],11,117672902,117683936,1,ortholog_one2one,1,tmc8,ENSDARG00000101050,transmembrane channel-like 8 [Source:ZFIN;Acc:ZDB-GENE-081114-2],11,45199369,45216684,-1
Ehbp1,ENSMUSG00000042302,EH domain binding protein 1 [Source:MGI Symbol;Acc:MGI:2667252],11,21955828,22292292,-1,ortholog_one2one,1,ehbp1,ENSDARG00000043643,EH domain binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-091006-4],17,24109012,24315315,1
Rhd,ENSMUSG00000028825,"Rh blood group, D antigen [Source:MGI Symbol;Acc:MGI:1202882]",4,134591847,134623483,1,ortholog_one2one,1,rhd,ENSDARG00000002194,"Rh blood group, D antigen [Source:ZFIN;Acc:ZDB-GENE-051213-1]",13,45496766,45523026,-1
Ost4,ENSMUSG00000038803,oligosaccharyltransferase complex subunit 4 (non-catalytic) [Source:MGI Symbol;Acc:MGI:1914945],5,31063229,31065132,-1,ortholog_one2one,1,ost4,ENSDARG00000096118,oligosaccharyltransferase complex subunit 4 (non-catalytic) [Source:ZFIN;Acc:ZDB-GENE-110307-1],4,736395,737520,1
Psd2,ENSMUSG00000024347,pleckstrin and Sec7 domain containing 2 [Source:MGI Symbol;Acc:MGI:1921252],18,36097883,36147768,1,ortholog_one2one,1,psd2,ENSDARG00000063036,pleckstrin and Sec7 domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-030131-3033],14,8127893,8249334,1
Nts,ENSMUSG00000019890,neurotensin [Source:MGI Symbol;Acc:MGI:1328351],10,102317617,102326347,-1,ortholog_one2one,1,nts,ENSDARG00000057887,neurotensin [Source:ZFIN;Acc:ZDB-GENE-091204-433],18,16330025,16339902,1
Dazap1,ENSMUSG00000069565,DAZ associated protein 1 [Source:MGI Symbol;Acc:MGI:1917498],10,80097320,80124242,1,ortholog_one2one,1,dazap1,ENSDARG00000070846,DAZ associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-070212-1],11,5880562,5925517,1
Trmt1l,ENSMUSG00000053286,tRNA methyltransferase 1 like [Source:MGI Symbol;Acc:MGI:1916185],1,151304293,151333912,1,ortholog_one2one,1,trmt1l,ENSDARG00000042057,tRNA methyltransferase 1-like [Source:ZFIN;Acc:ZDB-GENE-041014-189],20,34388425,34399442,1
Zfp507,ENSMUSG00000044452,zinc finger protein 507 [Source:MGI Symbol;Acc:MGI:1916378],7,35471768,35502428,-1,ortholog_one2one,1,znf507,ENSDARG00000052164,zinc finger protein 507 [Source:ZFIN;Acc:ZDB-GENE-040426-1233],7,47243564,47266151,1
Ccny,ENSMUSG00000024286,cyclin Y [Source:MGI Symbol;Acc:MGI:1915224],18,9312304,9450154,-1,ortholog_one2one,1,ccny,ENSDARG00000063677,cyclin Y [Source:ZFIN;Acc:ZDB-GENE-091117-45],24,4373033,4424232,1
Map2k1,ENSMUSG00000004936,mitogen-activated protein kinase kinase 1 [Source:MGI Symbol;Acc:MGI:1346866],9,64093052,64160913,-1,ortholog_one2one,1,map2k1,ENSDARG00000007825,mitogen-activated protein kinase kinase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2759],18,19419120,19451165,1
Dffb,ENSMUSG00000029027,"DNA fragmentation factor, beta subunit [Source:MGI Symbol;Acc:MGI:1196287]",4,154048906,154059583,-1,ortholog_one2one,1,dffb,ENSDARG00000009748,"DNA fragmentation factor, beta polypeptide (caspase-activated DNase) [Source:ZFIN;Acc:ZDB-GENE-030826-4]",8,22277198,22283112,1
Itgbl1,ENSMUSG00000032925,"integrin, beta-like 1 [Source:MGI Symbol;Acc:MGI:2443439]",14,123897383,124213030,1,ortholog_one2one,1,itgbl1,ENSDARG00000040985,"integrin, beta-like 1 [Source:ZFIN;Acc:ZDB-GENE-050522-410]",9,31752628,31833565,1
Birc6,ENSMUSG00000024073,baculoviral IAP repeat-containing 6 [Source:MGI Symbol;Acc:MGI:1276108],17,74835290,75010351,1,ortholog_one2one,1,birc6,ENSDARG00000074166,baculoviral IAP repeat containing 6 [Source:ZFIN;Acc:ZDB-GENE-091202-7],17,22587356,22741729,1
0610030E20Rik,ENSMUSG00000058706,RIKEN cDNA 0610030E20 gene [Source:MGI Symbol;Acc:MGI:1915614],6,72324300,72330131,1,ortholog_one2one,1,C5H2orf68,ENSDARG00000059459,si:ch211-283h6.4 [Source:NCBI gene;Acc:100001127],5,68817034,68826177,-1
Nmnat2,ENSMUSG00000042751,nicotinamide nucleotide adenylyltransferase 2 [Source:MGI Symbol;Acc:MGI:2444155],1,152830744,152995007,1,ortholog_one2one,1,nmnat2,ENSDARG00000004580,nicotinamide nucleotide adenylyltransferase 2 [Source:NCBI gene;Acc:336257],2,36026183,36040820,-1
Nubp1,ENSMUSG00000022503,nucleotide binding protein 1 [Source:MGI Symbol;Acc:MGI:1347073],16,10229812,10242292,1,ortholog_one2one,1,nubp1,ENSDARG00000055472,"nucleotide binding protein 1 (MinD homolog, E. coli) [Source:NCBI gene;Acc:503919]",3,26931710,26978793,-1
Marchf5,ENSMUSG00000023307,membrane associated ring-CH-type finger 5 [Source:MGI Symbol;Acc:MGI:1915207],19,37184942,37199550,1,ortholog_one2one,1,5-Mar,ENSDARG00000032552,membrane-associated ring finger (C3HC4) 5 [Source:ZFIN;Acc:ZDB-GENE-070424-47],13,42361599,42400647,-1
Cyp1b1,ENSMUSG00000024087,"cytochrome P450, family 1, subfamily b, polypeptide 1 [Source:MGI Symbol;Acc:MGI:88590]",17,80008966,80022490,-1,ortholog_one2one,1,cyp1b1,ENSDARG00000068934,"cytochrome P450, family 1, subfamily B, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-030902-1]",13,42011285,42018948,1
Selenok,ENSMUSG00000042682,selenoprotein K [Source:MGI Symbol;Acc:MGI:1931466],14,29690265,29697619,1,ortholog_one2one,1,selenok,ENSDARG00000100823,selenoprotein K [Source:NCBI gene;Acc:791738],8,53537103,53542424,-1
Atp6v1h,ENSMUSG00000033793,"ATPase, H+ transporting, lysosomal V1 subunit H [Source:MGI Symbol;Acc:MGI:1914864]",1,5140241,5232752,1,ortholog_one2one,1,atp6v1h,ENSDARG00000006370,ATPase H+ transporting V1 subunit H [Source:ZFIN;Acc:ZDB-GENE-021219-2],2,30786773,30846927,1
Mtmr10,ENSMUSG00000030522,myotubularin related protein 10 [Source:MGI Symbol;Acc:MGI:2142292],7,63937401,63990554,1,ortholog_one2one,1,mtmr10,ENSDARG00000010601,myotubularin related protein 10 [Source:NCBI gene;Acc:555239],7,30725473,30771147,1
Cnot6l,ENSMUSG00000034724,"CCR4-NOT transcription complex, subunit 6-like [Source:MGI Symbol;Acc:MGI:2443154]",5,96218192,96312030,-1,ortholog_one2one,1,cnot6l,ENSDARG00000054597,"CCR4-NOT transcription complex, subunit 6-like [Source:NCBI gene;Acc:553665]",5,38786481,38824466,-1
Psmb7,ENSMUSG00000026750,"proteasome (prosome, macropain) subunit, beta type 7 [Source:MGI Symbol;Acc:MGI:107637]",2,38478048,38534099,-1,ortholog_one2one,1,psmb7,ENSDARG00000037962,proteasome 20S subunit beta 7 [Source:ZFIN;Acc:ZDB-GENE-001208-4],21,8341774,8352095,1
Ttpal,ENSMUSG00000017679,tocopherol (alpha) transfer protein-like [Source:MGI Symbol;Acc:MGI:1923330],2,163444234,163460933,1,ortholog_one2one,1,ttpal,ENSDARG00000070644,tocopherol (alpha) transfer protein-like [Source:ZFIN;Acc:ZDB-GENE-030131-296],23,25868637,25874877,1
Ddx59,ENSMUSG00000026404,DEAD box helicase 59 [Source:MGI Symbol;Acc:MGI:1915247],1,136343009,136367896,1,ortholog_one2one,1,ddx59,ENSDARG00000022177,DEAD (Asp-Glu-Ala-Asp) box polypeptide 59 [Source:ZFIN;Acc:ZDB-GENE-050208-665],22,22417751,22430191,1
Ptbp3,ENSMUSG00000028382,polypyrimidine tract binding protein 3 [Source:MGI Symbol;Acc:MGI:1923334],4,59471868,59549364,-1,ortholog_one2one,1,ptbp3,ENSDARG00000043757,polypyrimidine tract binding protein 3 [Source:ZFIN;Acc:ZDB-GENE-091116-1],10,11146321,11261565,-1
Colec11,ENSMUSG00000036655,collectin sub-family member 11 [Source:MGI Symbol;Acc:MGI:1918943],12,28644172,28673376,-1,ortholog_one2one,1,colec11,ENSDARG00000013266,collectin sub-family member 11 [Source:NCBI gene;Acc:492459],17,36516695,36529449,-1
Rnf141,ENSMUSG00000030788,ring finger protein 141 [Source:MGI Symbol;Acc:MGI:1914400],7,110399639,110443664,-1,ortholog_one2one,1,rnf141,ENSDARG00000041802,ring finger protein 141 [Source:NCBI gene;Acc:414846],18,16749091,16756144,1
Fmnl2,ENSMUSG00000036053,formin-like 2 [Source:MGI Symbol;Acc:MGI:1918659],2,52747872,53023816,1,ortholog_one2one,1,fmnl2a,ENSDARG00000012586,formin-like 2a [Source:ZFIN;Acc:ZDB-GENE-081105-70],9,4730398,4856767,-1
Bmi1,ENSMUSG00000026739,Bmi1 polycomb ring finger oncogene [Source:MGI Symbol;Acc:MGI:88174],2,18681829,18691440,1,ortholog_one2one,1,bmi1b,ENSDARG00000013076,bmi1 polycomb ring finger oncogene 1b [Source:NCBI gene;Acc:394249],2,21164930,21170517,-1
Dnai4,ENSMUSG00000035126,dynein axonemal intermediate chain 4 [Source:MGI Symbol;Acc:MGI:2385328],4,102895262,102971752,-1,ortholog_one2one,1,wdr78,ENSDARG00000044400,WD repeat domain 78 [Source:ZFIN;Acc:ZDB-GENE-050522-322],6,30689239,30701207,1
Cables1,ENSMUSG00000040957,CDK5 and Abl enzyme substrate 1 [Source:MGI Symbol;Acc:MGI:1927065],18,11972277,12078687,1,ortholog_one2one,1,cables1,ENSDARG00000099395,Cdk5 and Abl enzyme substrate 1 [Source:ZFIN;Acc:ZDB-GENE-070912-509],2,4303125,4353808,1
Meak7,ENSMUSG00000034105,"MTOR associated protein , eak-7 homolog [Source:MGI Symbol;Acc:MGI:1921597]",8,120486815,120505155,-1,ortholog_one2one,1,meak7,ENSDARG00000062951,"MTOR associated protein, eak-7 homolog [Source:NCBI gene;Acc:561678]",18,13236255,13245775,1
Galnt2,ENSMUSG00000089704,polypeptide N-acetylgalactosaminyltransferase 2 [Source:MGI Symbol;Acc:MGI:894694],8,124958130,125072463,1,ortholog_one2one,1,galnt2,ENSDARG00000003829,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-041111-110],13,24068577,24218795,-1
Slc30a5,ENSMUSG00000021629,"solute carrier family 30 (zinc transporter), member 5 [Source:MGI Symbol;Acc:MGI:1916298]",13,100939156,100969935,-1,ortholog_one2one,1,slc30a5,ENSDARG00000051921,solute carrier family 30 member 5 [Source:NCBI gene;Acc:436594],5,54716670,54729578,-1
Zdhhc13,ENSMUSG00000030471,"zinc finger, DHHC domain containing 13 [Source:MGI Symbol;Acc:MGI:1919227]",7,48438751,48477188,1,ortholog_one2one,1,zdhhc13,ENSDARG00000101144,zinc finger DHHC-type containing 13 [Source:ZFIN;Acc:ZDB-GENE-041212-79],7,16509201,16549089,1
Zfp385b,ENSMUSG00000027016,zinc finger protein 385B [Source:MGI Symbol;Acc:MGI:2444734],2,77240978,77649983,-1,ortholog_one2one,1,znf385b,ENSDARG00000006065,zinc finger protein 385B [Source:NCBI gene;Acc:368405],9,43243212,43538328,-1
Smc4,ENSMUSG00000034349,structural maintenance of chromosomes 4 [Source:MGI Symbol;Acc:MGI:1917349],3,68912071,68941956,1,ortholog_one2one,1,smc4,ENSDARG00000038882,structural maintenance of chromosomes 4 [Source:ZFIN;Acc:ZDB-GENE-020419-21],15,1534644,1573129,1
Tspan11,ENSMUSG00000030351,tetraspanin 11 [Source:MGI Symbol;Acc:MGI:1915748],6,127864552,127930940,1,ortholog_one2one,1,tspan11,ENSDARG00000001781,tetraspanin 11 [Source:ZFIN;Acc:ZDB-GENE-041210-93],4,11172964,11198055,1
Fgf3,ENSMUSG00000031074,fibroblast growth factor 3 [Source:MGI Symbol;Acc:MGI:95517],7,144391820,144398173,1,ortholog_one2one,1,fgf3,ENSDARG00000101540,fibroblast growth factor 3 [Source:NCBI gene;Acc:30549],7,54605640,54609108,1
Ufm1,ENSMUSG00000027746,ubiquitin-fold modifier 1 [Source:MGI Symbol;Acc:MGI:1915140],3,53760797,53771251,-1,ortholog_one2one,1,ufm1,ENSDARG00000043857,ubiquitin-fold modifier 1 [Source:NCBI gene;Acc:322756],10,25947946,25962058,1
Btaf1,ENSMUSG00000040565,B-TFIID TATA-box binding protein associated factor 1 [Source:MGI Symbol;Acc:MGI:2147538],19,36903479,36990152,1,ortholog_one2one,1,btaf1,ENSDARG00000060089,"BTAF1 RNA polymerase II, B-TFIID transcription factor-associated [Source:ZFIN;Acc:ZDB-GENE-021025-1]",13,42480852,42536960,-1
Dcp1b,ENSMUSG00000041477,decapping mRNA 1B [Source:MGI Symbol;Acc:MGI:2442404],6,119152214,119198577,1,ortholog_one2one,1,dcp1b,ENSDARG00000045484,decapping mRNA 1B [Source:ZFIN;Acc:ZDB-GENE-040819-1],4,20302832,20314796,-1
